,PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
0,1,5,4,1,0,0,0.0,0.0,0.2,0.8,0,0,0.0,0.0,0,0,0,0,1,0,4,1,4,0,72,18
1,2,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
2,3,8,0,8,1,0,0.125,0.0,1.0,0.0,2,0,0.25,0.0,1,1,0,6,1,0,0,2,6,0,47,2
3,4,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,0,0,0,0,1,1,5,5
4,5,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,1,0,0,0,0,0,3,0,2,131,32
5,6,6,5,1,0,0,0.0,0.0,0.167,0.833,0,1,0.0,0.167,0,4,0,0,2,0,0,6,0,0,150,17
6,7,3,1,2,1,1,0.333,0.333,0.667,0.333,2,1,0.667,0.333,1,0,0,0,3,0,0,3,0,0,17,5
7,8,6,4,2,0,0,0.0,0.0,0.333,0.667,1,2,0.167,0.333,0,1,0,0,0,0,0,6,0,5,36,8
8,9,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,16,16
9,10,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,2,66,39
10,11,7,2,5,1,0,0.143,0.0,0.714,0.286,3,1,0.429,0.143,0,2,1,2,0,0,2,2,5,0,64,5
11,12,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,96,96
12,13,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2,0,1,49,49
13,14,2,1,1,1,0,0.5,0.0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,16,5
14,15,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,38,38
15,16,8,1,7,7,1,0.875,0.125,0.875,0.125,8,1,1.0,0.125,2,1,1,5,0,0,0,1,7,1,9,1
16,17,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,7,7
17,18,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6,6
18,19,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,110,110
19,20,7,5,2,1,0,0.143,0.0,0.286,0.714,1,1,0.143,0.143,0,0,0,0,2,0,0,5,2,5,138,3
20,21,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8
21,22,5,2,3,0,1,0.0,0.2,0.6,0.4,2,1,0.4,0.2,1,3,0,1,0,0,1,3,2,0,92,10
22,23,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,40,40
23,24,1,1,0,0,0,0.0,0.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,0,0,0,1,0,1,11,11
24,25,3,1,2,0,0,0.0,0.0,0.667,0.333,1,1,0.333,0.333,0,0,0,0,0,0,0,1,2,3,51,10
25,26,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,17,17
26,27,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,59,59
27,28,11,6,5,1,1,0.091,0.091,0.455,0.545,3,1,0.273,0.091,2,1,0,1,8,0,0,9,2,1,37,3
28,29,42,34,8,2,2,0.048,0.048,0.19,0.81,5,3,0.119,0.071,3,0,0,0,26,1,0,35,7,15,159,4
29,30,3,0,3,2,0,0.667,0.0,1.0,0.0,3,0,1.0,0.0,2,0,0,2,0,0,0,0,3,1,10,2
30,31,10,2,8,3,0,0.3,0.0,0.8,0.2,5,2,0.5,0.2,2,3,1,2,0,2,0,5,5,2,38,2
31,32,4,1,3,2,0,0.5,0.0,0.75,0.25,3,0,0.75,0.0,0,2,0,2,0,0,0,2,2,0,47,2
32,33,5,2,3,2,1,0.4,0.2,0.6,0.4,4,1,0.8,0.2,2,0,0,5,0,0,0,0,5,0,20,3
33,34,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,4,4
34,35,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,0,0,0,0,1,1,2,26,7
35,36,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,19,19
36,37,7,1,6,3,1,0.429,0.143,0.857,0.143,5,1,0.714,0.143,0,1,2,3,0,0,1,1,6,0,41,4
37,38,11,8,3,0,0,0.0,0.0,0.273,0.727,1,0,0.091,0.0,0,0,0,0,6,0,0,6,5,5,73,11
