PROSPECTID,pct_tl_open_L6M,pct_tl_closed_L6M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,CC_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,max_recent_level_of_deliq,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_60p_dpd,num_std_12mts,num_sub,num_sub_12mts,num_dbt,num_dbt_12mts,num_lss,recent_level_of_deliq,CC_enq_L12m,PL_enq_L12m,time_since_recent_enq,enq_L3m,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_currentBal_all_TL,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,MARITALSTATUS,EDUCATION,GENDER,first_prod_enq2_AL,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,last_prod_enq2_AL,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others
APP1,0.3,0.3,4,0.5,0.4,2,0,0,0,2,8,2,35.0,2.0,74.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,42.0,6.0,30000,180,0.9,0,0,0.0,0.0,1.306,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
APP2,0.222,0.222,4,0.333,0.444,0,0,0,0,8,1,0,33.0,4.0,65.0,92,0,0.0,0.0,2,0,0,0,0,0,0,5,0.0,0.0,124.0,0.0,16000,66,0.7,0,0,0.0,0.0,2.438,1,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0
APP3,0.0,0.0,0,1.0,0.0,0,0,0,0,1,1,1,9.0,9.0,63.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,18000,78,1.446,0,0,0.0,0.0,0.069,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0
APP4,0.143,0.071,2,0.214,0.143,0,0,0,0,5,9,2,71.0,3.0,46.0,26,1,0.0,26.0,0,0,0,0,0,0,0,26,0.0,0.0,102.0,0.0,40000,607,0.677,0,0,0.0,0.0,4.291,1,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0
APP5,1.0,0.0,0,1.0,0.0,1,0,0,0,0,2,1,5.0,5.0,82.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,166.0,0.0,25000,368,0.681,0,0,1.0,0.0,0.991,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1
APP6,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,79.0,79.0,74.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,25.0,2.0,15700,66,0.0,0,0,1.0,0.0,1.82,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
APP7,0.111,0.056,1,0.111,0.056,3,0,0,0,7,11,8,212.0,3.0,215.0,50,0,0.0,0.0,0,0,0,0,0,0,0,50,0.0,1.0,92.0,0.0,35000,186,0.869,0,0,0.5,0.0,10.279,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1
APP8,0.133,0.0,1,0.133,0.067,2,0,0,0,15,0,10,59.0,4.0,74.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18000,70,1.012,0,0,0.0,0.0,1.82,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
APP9,0.273,0.182,2,0.636,0.182,1,0,0,1,1,10,0,33.0,3.0,45.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,2.0,114.0,0.0,19000,186,0.743,0,1,0.5,0.0,7.856,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
APP10,0.25,0.125,2,0.375,0.125,1,0,0,1,2,14,1,76.0,2.0,45.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,3.0,58.0,2.0,15000,204,0.837,0,1,0.5,0.0,13.069,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
APP11,0.0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,87.0,36.0,491.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40000,65,0.0,0,0,0.0,0.0,1.82,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1
APP12,0.5,0.5,3,1.0,0.5,1,1,0,0,5,1,2,11.0,1.0,23.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,219.0,0.0,18000,127,0.955,1,0,0.0,0.0,1.585,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
APP13,1.0,0.0,0,1.0,0.0,0,0,0,0,0,1,0,5.0,5.0,101.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,165.0,0.0,34568,101,0.5,0,0,1.0,0.0,0.636,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0
APP14,0.667,0.0,0,1.0,0.0,1,0,0,1,0,3,0,10.0,3.0,86.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,171.0,0.0,46000,58,0.784,0,1,1.0,0.0,2.993,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
APP15,0.0,0.0,0,1.0,0.0,1,0,0,0,1,0,0,6.0,6.0,74.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,2.0,17500,25,0.931,0,0,0.0,0.0,1.82,0,0,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0
