Applicant ID,Total Missed Payments,Credit Card Accounts,Home Loan Accounts,Personal Loan Accounts,Secured Loan Accounts,Unsecured Loan Accounts,Other Loan Accounts,Oldest Credit Line (Months),Newest Credit Line (Months),Months Since Last Payment,Highest Recent Delinquency,60+ DPD Occurrences,Current Delinquency Level,Credit Card Enquiries (12 Months),Personal Loan Enquiries (12 Months),Months Since Last Credit Enquiry,Credit Enquiries (Last 3 Months),Monthly Income (₹),Employment Duration (Months),Current Balance Ratio (%),Maximum Unsecured Exposure (%),Marital Status,Education,Gender,Total Active Loan Accounts
CUST100001,2,0,0,0,2,8,2,35.0,2.0,74.0,0,0,0,0.0,0.0,42.0,6.0,"₹30,000",15.0 Years,0.9%,1.3%,Married,12TH,Male,2
CUST100002,0,0,0,0,8,1,0,33.0,4.0,65.0,92,2,5,0.0,0.0,124.0,0.0,"₹16,000",5.5 Years,0.7%,2.4%,Married,GRADUATE,Male,0
CUST100003,0,0,0,0,1,1,1,9.0,9.0,63.0,0,0,0,0.0,0.0,0.0,2.0,"₹18,000",6.5 Years,1.4%,0.1%,Single,GRADUATE,Male,1
CUST100004,0,0,0,0,5,9,2,71.0,3.0,46.0,26,0,26,0.0,0.0,102.0,0.0,"₹40,000",50.6 Years,0.7%,4.3%,Married,GRADUATE,Female,2
CUST100005,1,0,0,0,0,2,1,5.0,5.0,82.0,0,0,0,0.0,1.0,166.0,0.0,"₹25,000",30.7 Years,0.7%,1.0%,Single,GRADUATE,Male,1
CUST100006,0,0,0,0,1,0,0,79.0,79.0,74.0,0,0,0,0.0,1.0,25.0,2.0,"₹15,700",5.5 Years,0.0%,1.8%,Married,12TH,Female,0
CUST100007,3,0,0,0,7,11,8,212.0,3.0,215.0,50,0,50,0.0,1.0,92.0,0.0,"₹35,000",15.5 Years,0.9%,10.3%,Married,GRADUATE,Male,8
CUST100008,2,0,0,0,15,0,10,59.0,4.0,74.0,0,0,0,0.0,0.0,0.0,0.0,"₹18,000",5.8 Years,1.0%,1.8%,Married,12TH,Male,10
CUST100009,1,0,0,1,1,10,0,33.0,3.0,45.0,0,0,0,0.0,2.0,114.0,0.0,"₹19,000",15.5 Years,0.7%,7.9%,Married,SSC,Male,1
CUST100010,1,0,0,1,2,14,1,76.0,2.0,45.0,0,0,0,0.0,3.0,58.0,2.0,"₹15,000",17.0 Years,0.8%,13.1%,Married,12TH,Male,2
CUST100011,0,0,0,0,4,0,4,87.0,36.0,491.0,0,0,0,0.0,0.0,0.0,0.0,"₹40,000",5.4 Years,0.0%,1.8%,Married,GRADUATE,Male,4
CUST100012,1,1,0,0,5,1,2,11.0,1.0,23.0,0,0,0,0.0,0.0,219.0,0.0,"₹18,000",10.6 Years,1.0%,1.6%,Married,SSC,Female,3
CUST100013,0,0,0,0,0,1,0,5.0,5.0,101.0,0,0,0,0.0,1.0,165.0,0.0,"₹34,568",8.4 Years,0.5%,0.6%,Single,GRADUATE,Male,0
CUST100014,1,0,0,1,0,3,0,10.0,3.0,86.0,0,0,0,0.0,1.0,171.0,0.0,"₹46,000",4.8 Years,0.8%,3.0%,Married,GRADUATE,Male,1
CUST100015,1,0,0,0,1,0,0,6.0,6.0,74.0,0,0,0,0.0,0.0,6.0,2.0,"₹17,500",2.1 Years,0.9%,1.8%,Married,GRADUATE,Male,0
CUST100016,1,0,0,0,2,0,0,6.0,3.0,59.0,3,0,3,0.0,0.0,187.0,0.0,"₹80,000",5.3 Years,1.0%,1.8%,Married,SSC,Male,0
CUST100017,0,0,0,0,1,0,0,6.0,6.0,68.0,0,0,0,0.0,0.0,200.0,0.0,"₹15,000",6.3 Years,0.9%,1.8%,Single,UNDER GRADUATE,Male,0
CUST100018,0,0,0,0,1,1,0,49.0,5.0,37.0,0,0,0,0.0,0.0,9.0,1.0,"₹35,000",12.4 Years,0.4%,0.3%,Married,UNDER GRADUATE,Female,0
CUST100019,0,0,0,0,0,2,0,7.0,4.0,44.0,0,0,0,0.0,0.0,12.0,1.0,"₹30,000",15.2 Years,0.7%,1.3%,Single,12TH,Male,0
