PROSPECTID,Actual_Risk_Grade
CUST100001,2
CUST100002,3
CUST100003,2
CUST100004,1
CUST100005,1
CUST100006,3
CUST100007,0
CUST100008,1
CUST100009,1
CUST100010,1
CUST100011,0
CUST100012,1
CUST100013,2
CUST100014,1
CUST100015,1
CUST100016,1
CUST100017,1
CUST100018,1
CUST100019,1
CUST100020,2
CUST100021,1
CUST100022,1
CUST100023,1
CUST100024,1
CUST100025,0
CUST100026,0
CUST100027,3
CUST100028,3
CUST100029,3
CUST100030,1
CUST100031,1
CUST100032,0
CUST100033,1
CUST100034,1
CUST100035,1
CUST100036,3
CUST100037,1
CUST100038,3
CUST100039,2
CUST100040,0
CUST100041,1
CUST100042,3
CUST100043,1
CUST100044,1
CUST100045,1
CUST100046,3
CUST100047,1
CUST100048,2
CUST100049,0
CUST100050,1
CUST100051,1
CUST100052,1
CUST100053,1
CUST100054,0
CUST100055,1
CUST100056,1
CUST100057,2
CUST100058,1
CUST100059,0
CUST100060,2
CUST100061,1
CUST100062,3
CUST100063,1
CUST100064,1
CUST100065,0
CUST100066,2
CUST100067,1
CUST100068,1
CUST100069,1
CUST100070,2
CUST100071,2
CUST100072,2
CUST100073,1
CUST100074,1
CUST100075,2
CUST100076,2
CUST100077,1
CUST100078,1
CUST100079,1
CUST100080,1
CUST100081,0
CUST100082,1
CUST100083,1
CUST100084,1
CUST100085,1
CUST100086,1
CUST100087,1
CUST100088,3
CUST100089,1
CUST100090,1
CUST100091,1
CUST100092,0
CUST100093,1
CUST100094,3
CUST100095,1
CUST100096,3
CUST100097,3
CUST100098,2
CUST100099,1
CUST100100,0
CUST100101,1
CUST100102,1
CUST100103,0
CUST100104,1
CUST100105,1
CUST100106,0
CUST100107,1
CUST100108,1
CUST100109,1
CUST100110,1
CUST100111,1
CUST100112,0
CUST100113,1
CUST100114,1
CUST100115,1
CUST100116,0
CUST100117,1
CUST100118,2
CUST100119,3
CUST100120,1
CUST100121,1
CUST100122,3
CUST100123,1
CUST100124,3
CUST100125,1
CUST100126,1
CUST100127,3
CUST100128,1
CUST100129,0
CUST100130,1
CUST100131,1
CUST100132,1
CUST100133,3
CUST100134,1
CUST100135,1
CUST100136,2
CUST100137,1
CUST100138,1
CUST100139,1
CUST100140,1
CUST100141,1
CUST100142,0
CUST100143,1
CUST100144,3
CUST100145,2
CUST100146,1
CUST100147,1
CUST100148,1
CUST100149,1
CUST100150,1
CUST100151,1
CUST100152,1
CUST100153,2
CUST100154,1
CUST100155,1
CUST100156,1
CUST100157,1
CUST100158,1
CUST100159,1
CUST100160,1
CUST100161,1
CUST100162,3
CUST100163,1
CUST100164,1
CUST100165,3
CUST100166,2
CUST100167,1
CUST100168,1
CUST100169,2
CUST100170,1
CUST100171,1
CUST100172,1
CUST100173,1
CUST100174,0
CUST100175,1
CUST100176,1
CUST100177,1
CUST100178,2
CUST100179,1
CUST100180,1
CUST100181,1
CUST100182,1
CUST100183,1
CUST100184,3
CUST100185,1
CUST100186,1
CUST100187,1
CUST100188,1
CUST100189,1
CUST100190,1
CUST100191,3
CUST100192,1
CUST100193,3
CUST100194,2
CUST100195,0
CUST100196,1
CUST100197,0
CUST100198,2
CUST100199,1
CUST100200,0
CUST100201,1
CUST100202,2
CUST100203,3
CUST100204,1
CUST100205,1
CUST100206,1
CUST100207,1
CUST100208,1
CUST100209,2
CUST100210,1
CUST100211,0
CUST100212,1
CUST100213,1
CUST100214,1
CUST100215,1
CUST100216,1
CUST100217,2
CUST100218,1
CUST100219,1
CUST100220,1
CUST100221,1
CUST100222,3
CUST100223,1
CUST100224,1
CUST100225,1
CUST100226,1
CUST100227,1
CUST100228,1
CUST100229,0
CUST100230,1
CUST100231,1
CUST100232,2
CUST100233,2
CUST100234,1
CUST100235,3
CUST100236,1
CUST100237,1
CUST100238,0
CUST100239,1
CUST100240,1
CUST100241,3
CUST100242,3
CUST100243,2
CUST100244,2
CUST100245,1
CUST100246,1
CUST100247,2
CUST100248,0
CUST100249,1
CUST100250,1
CUST100251,0
CUST100252,1
CUST100253,1
CUST100254,1
CUST100255,1
CUST100256,2
CUST100257,1
CUST100258,1
CUST100259,0
CUST100260,3
CUST100261,1
CUST100262,1
CUST100263,1
CUST100264,2
CUST100265,1
CUST100266,1
CUST100267,3
CUST100268,2
CUST100269,1
CUST100270,1
CUST100271,1
CUST100272,3
CUST100273,0
CUST100274,0
CUST100275,1
CUST100276,1
CUST100277,0
CUST100278,1
CUST100279,1
CUST100280,1
CUST100281,1
CUST100282,1
CUST100283,1
CUST100284,2
CUST100285,1
CUST100286,3
CUST100287,1
CUST100288,1
CUST100289,0
CUST100290,3
CUST100291,1
CUST100292,1
CUST100293,3
CUST100294,1
CUST100295,1
CUST100296,1
CUST100297,1
CUST100298,3
CUST100299,2
CUST100300,3
CUST100301,1
CUST100302,1
CUST100303,1
CUST100304,1
CUST100305,1
CUST100306,0
CUST100307,2
CUST100308,1
CUST100309,1
CUST100310,1
CUST100311,1
CUST100312,2
CUST100313,0
CUST100314,1
CUST100315,1
CUST100316,1
CUST100317,2
CUST100318,1
CUST100319,1
CUST100320,3
CUST100321,3
CUST100322,1
CUST100323,1
CUST100324,1
CUST100325,2
CUST100326,1
CUST100327,2
CUST100328,0
CUST100329,1
CUST100330,1
CUST100331,1
CUST100332,1
CUST100333,1
CUST100334,1
CUST100335,3
CUST100336,2
CUST100337,2
CUST100338,1
CUST100339,1
CUST100340,1
CUST100341,1
CUST100342,1
CUST100343,3
CUST100344,2
CUST100345,1
CUST100346,1
CUST100347,1
CUST100348,1
CUST100349,0
CUST100350,1
CUST100351,1
CUST100352,0
CUST100353,0
CUST100354,1
CUST100355,2
CUST100356,0
CUST100357,1
CUST100358,0
CUST100359,1
CUST100360,1
CUST100361,1
CUST100362,3
CUST100363,3
CUST100364,1
CUST100365,1
CUST100366,1
CUST100367,0
CUST100368,1
CUST100369,1
CUST100370,1
CUST100371,3
CUST100372,2
CUST100373,1
CUST100374,0
CUST100375,1
CUST100376,1
CUST100377,3
CUST100378,0
CUST100379,1
CUST100380,1
CUST100381,0
CUST100382,3
CUST100383,0
CUST100384,1
CUST100385,2
CUST100386,1
CUST100387,1
CUST100388,1
CUST100389,1
CUST100390,1
CUST100391,0
CUST100392,2
CUST100393,0
CUST100394,1
CUST100395,3
CUST100396,2
CUST100397,1
CUST100398,0
CUST100399,1
CUST100400,2
CUST100401,1
CUST100402,2
CUST100403,1
CUST100404,1
CUST100405,1
CUST100406,1
CUST100407,1
CUST100408,1
CUST100409,3
CUST100410,1
CUST100411,1
CUST100412,1
CUST100413,2
CUST100414,0
CUST100415,1
CUST100416,0
CUST100417,3
CUST100418,3
CUST100419,0
CUST100420,1
CUST100421,1
CUST100422,1
CUST100423,1
CUST100424,1
CUST100425,1
CUST100426,0
CUST100427,0
CUST100428,1
CUST100429,3
CUST100430,1
CUST100431,2
CUST100432,0
CUST100433,1
CUST100434,1
CUST100435,2
CUST100436,1
CUST100437,2
CUST100438,2
CUST100439,3
CUST100440,1
CUST100441,1
CUST100442,1
CUST100443,1
CUST100444,1
CUST100445,3
CUST100446,1
CUST100447,1
CUST100448,1
CUST100449,1
CUST100450,1
CUST100451,0
CUST100452,1
CUST100453,1
CUST100454,1
CUST100455,0
CUST100456,1
CUST100457,1
CUST100458,1
CUST100459,3
CUST100460,2
CUST100461,3
CUST100462,1
CUST100463,0
CUST100464,1
CUST100465,3
CUST100466,1
CUST100467,2
CUST100468,1
CUST100469,1
CUST100470,1
CUST100471,1
CUST100472,1
CUST100473,1
CUST100474,2
CUST100475,2
CUST100476,1
CUST100477,1
CUST100478,2
CUST100479,2
CUST100480,1
CUST100481,3
CUST100482,1
CUST100483,3
CUST100484,1
CUST100485,1
CUST100486,1
CUST100487,2
CUST100488,1
CUST100489,1
CUST100490,1
CUST100491,1
CUST100492,1
CUST100493,3
CUST100494,3
CUST100495,1
CUST100496,1
CUST100497,1
CUST100498,1
CUST100499,1
CUST100500,2
CUST100501,3
CUST100502,1
CUST100503,1
CUST100504,2
CUST100505,1
CUST100506,2
CUST100507,2
CUST100508,1
CUST100509,2
CUST100510,1
CUST100511,1
CUST100512,1
CUST100513,1
CUST100514,1
CUST100515,0
CUST100516,1
CUST100517,1
CUST100518,1
CUST100519,3
CUST100520,1
CUST100521,1
CUST100522,0
CUST100523,2
CUST100524,1
CUST100525,2
CUST100526,1
CUST100527,1
CUST100528,2
CUST100529,1
CUST100530,1
CUST100531,1
CUST100532,1
CUST100533,1
CUST100534,1
CUST100535,1
CUST100536,1
CUST100537,1
CUST100538,1
CUST100539,1
CUST100540,3
CUST100541,3
CUST100542,2
CUST100543,1
CUST100544,1
CUST100545,2
CUST100546,1
CUST100547,1
CUST100548,1
CUST100549,1
CUST100550,1
CUST100551,1
CUST100552,1
CUST100553,1
CUST100554,1
CUST100555,0
CUST100556,1
CUST100557,0
CUST100558,3
CUST100559,0
CUST100560,1
CUST100561,3
CUST100562,1
CUST100563,1
CUST100564,3
CUST100565,3
CUST100566,1
CUST100567,1
CUST100568,0
CUST100569,0
CUST100570,2
CUST100571,1
CUST100572,0
CUST100573,1
CUST100574,0
CUST100575,1
CUST100576,1
CUST100577,0
CUST100578,1
CUST100579,1
CUST100580,2
CUST100581,1
CUST100582,1
CUST100583,0
CUST100584,2
CUST100585,1
CUST100586,1
CUST100587,3
CUST100588,1
CUST100589,2
CUST100590,1
CUST100591,1
CUST100592,1
CUST100593,2
CUST100594,1
CUST100595,2
CUST100596,1
CUST100597,2
CUST100598,1
CUST100599,3
CUST100600,1
CUST100601,0
CUST100602,1
CUST100603,2
CUST100604,1
CUST100605,0
CUST100606,1
CUST100607,2
CUST100608,1
CUST100609,1
CUST100610,1
CUST100611,1
CUST100612,1
CUST100613,0
CUST100614,1
CUST100615,1
CUST100616,0
CUST100617,1
CUST100618,1
CUST100619,1
CUST100620,1
CUST100621,3
CUST100622,3
CUST100623,3
CUST100624,1
CUST100625,1
CUST100626,0
CUST100627,1
CUST100628,2
CUST100629,1
CUST100630,1
CUST100631,1
CUST100632,1
CUST100633,2
CUST100634,0
CUST100635,3
CUST100636,2
CUST100637,0
CUST100638,1
CUST100639,1
CUST100640,1
CUST100641,1
CUST100642,1
CUST100643,1
CUST100644,1
CUST100645,1
CUST100646,1
CUST100647,2
CUST100648,2
CUST100649,1
CUST100650,1
CUST100651,1
CUST100652,1
CUST100653,3
CUST100654,1
CUST100655,0
CUST100656,1
CUST100657,1
CUST100658,2
CUST100659,1
CUST100660,1
CUST100661,3
CUST100662,1
CUST100663,2
CUST100664,2
CUST100665,2
CUST100666,1
CUST100667,1
CUST100668,1
CUST100669,1
CUST100670,1
CUST100671,1
CUST100672,0
CUST100673,1
CUST100674,3
CUST100675,1
CUST100676,1
CUST100677,1
CUST100678,1
CUST100679,0
CUST100680,1
CUST100681,1
CUST100682,1
CUST100683,0
CUST100684,1
CUST100685,2
CUST100686,0
CUST100687,1
CUST100688,2
CUST100689,2
CUST100690,1
CUST100691,0
CUST100692,1
CUST100693,0
CUST100694,1
CUST100695,1
CUST100696,3
CUST100697,1
CUST100698,1
CUST100699,1
CUST100700,2
CUST100701,1
CUST100702,0
CUST100703,0
CUST100704,0
CUST100705,1
CUST100706,0
CUST100707,1
CUST100708,1
CUST100709,0
CUST100710,3
CUST100711,1
CUST100712,1
CUST100713,1
CUST100714,2
CUST100715,2
CUST100716,3
CUST100717,1
CUST100718,1
CUST100719,1
CUST100720,1
CUST100721,1
CUST100722,1
CUST100723,2
CUST100724,1
CUST100725,1
CUST100726,1
CUST100727,0
CUST100728,2
CUST100729,1
CUST100730,1
CUST100731,1
CUST100732,1
CUST100733,1
CUST100734,1
CUST100735,1
CUST100736,1
CUST100737,1
CUST100738,1
CUST100739,2
CUST100740,3
CUST100741,1
CUST100742,1
CUST100743,1
CUST100744,0
CUST100745,1
CUST100746,1
CUST100747,1
CUST100748,3
CUST100749,1
CUST100750,1
CUST100751,0
CUST100752,1
CUST100753,1
CUST100754,3
CUST100755,1
CUST100756,1
CUST100757,1
CUST100758,0
CUST100759,2
CUST100760,1
CUST100761,2
CUST100762,2
CUST100763,1
CUST100764,0
CUST100765,2
CUST100766,3
CUST100767,1
CUST100768,1
CUST100769,1
CUST100770,1
CUST100771,1
CUST100772,1
CUST100773,1
CUST100774,3
CUST100775,1
CUST100776,2
CUST100777,2
CUST100778,1
CUST100779,1
CUST100780,1
CUST100781,1
CUST100782,1
CUST100783,2
CUST100784,1
CUST100785,1
CUST100786,0
CUST100787,1
CUST100788,0
CUST100789,1
CUST100790,2
CUST100791,1
CUST100792,0
CUST100793,1
CUST100794,1
CUST100795,2
CUST100796,1
CUST100797,1
CUST100798,2
CUST100799,1
CUST100800,0
CUST100801,1
CUST100802,1
CUST100803,0
CUST100804,1
CUST100805,3
CUST100806,0
CUST100807,1
CUST100808,1
CUST100809,1
CUST100810,1
CUST100811,0
CUST100812,1
CUST100813,2
CUST100814,1
CUST100815,3
CUST100816,3
CUST100817,1
CUST100818,2
CUST100819,0
CUST100820,1
CUST100821,1
CUST100822,2
CUST100823,1
CUST100824,1
CUST100825,1
CUST100826,1
CUST100827,1
CUST100828,0
CUST100829,2
CUST100830,1
CUST100831,1
CUST100832,2
CUST100833,1
CUST100834,1
CUST100835,0
CUST100836,1
CUST100837,1
CUST100838,1
CUST100839,0
CUST100840,1
CUST100841,1
CUST100842,1
CUST100843,3
CUST100844,3
CUST100845,1
CUST100846,1
CUST100847,0
CUST100848,1
CUST100849,1
CUST100850,2
CUST100851,0
CUST100852,0
CUST100853,2
CUST100854,1
CUST100855,3
CUST100856,1
CUST100857,1
CUST100858,1
CUST100859,0
CUST100860,1
CUST100861,0
CUST100862,1
CUST100863,2
CUST100864,3
CUST100865,1
CUST100866,3
CUST100867,1
CUST100868,0
CUST100869,1
CUST100870,3
CUST100871,1
CUST100872,1
CUST100873,1
CUST100874,1
CUST100875,1
CUST100876,1
CUST100877,0
CUST100878,0
CUST100879,3
CUST100880,1
CUST100881,3
CUST100882,1
CUST100883,1
CUST100884,1
CUST100885,1
CUST100886,2
CUST100887,2
CUST100888,2
CUST100889,1
CUST100890,1
CUST100891,1
CUST100892,1
CUST100893,3
CUST100894,3
CUST100895,2
CUST100896,0
CUST100897,0
CUST100898,1
CUST100899,3
CUST100900,0
CUST100901,3
CUST100902,1
CUST100903,1
CUST100904,2
CUST100905,1
CUST100906,1
CUST100907,1
CUST100908,0
CUST100909,1
CUST100910,1
CUST100911,0
CUST100912,1
CUST100913,3
CUST100914,1
CUST100915,1
CUST100916,2
CUST100917,1
CUST100918,1
CUST100919,1
CUST100920,1
CUST100921,3
CUST100922,1
CUST100923,1
CUST100924,2
CUST100925,1
CUST100926,2
CUST100927,0
CUST100928,2
CUST100929,0
CUST100930,1
CUST100931,1
CUST100932,1
CUST100933,1
CUST100934,0
CUST100935,2
CUST100936,1
CUST100937,1
CUST100938,0
CUST100939,0
CUST100940,2
CUST100941,2
CUST100942,3
CUST100943,2
CUST100944,3
CUST100945,1
CUST100946,1
CUST100947,1
CUST100948,1
CUST100949,1
CUST100950,1
CUST100951,1
CUST100952,1
CUST100953,1
CUST100954,2
CUST100955,2
CUST100956,1
CUST100957,1
CUST100958,3
CUST100959,1
CUST100960,1
CUST100961,3
CUST100962,1
CUST100963,1
CUST100964,1
CUST100965,1
CUST100966,2
CUST100967,1
CUST100968,1
CUST100969,1
CUST100970,0
CUST100971,3
CUST100972,1
CUST100973,1
CUST100974,1
CUST100975,1
CUST100976,0
CUST100977,1
CUST100978,1
CUST100979,1
CUST100980,0
CUST100981,1
CUST100982,1
CUST100983,1
CUST100984,2
CUST100985,1
CUST100986,1
CUST100987,1
CUST100988,1
CUST100989,2
CUST100990,3
CUST100991,2
CUST100992,1
CUST100993,0
CUST100994,2
CUST100995,1
CUST100996,1
CUST100997,3
CUST100998,0
CUST100999,1
CUST101000,0
CUST101001,2
CUST101002,3
CUST101003,3
CUST101004,0
CUST101005,1
CUST101006,1
CUST101007,2
CUST101008,2
CUST101009,0
CUST101010,1
CUST101011,1
CUST101012,1
CUST101013,1
CUST101014,3
CUST101015,1
CUST101016,1
CUST101017,3
CUST101018,3
CUST101019,1
CUST101020,1
CUST101021,0
CUST101022,1
CUST101023,0
CUST101024,0
CUST101025,1
CUST101026,1
CUST101027,3
CUST101028,2
CUST101029,0
CUST101030,0
CUST101031,1
CUST101032,1
CUST101033,1
CUST101034,1
CUST101035,3
CUST101036,1
CUST101037,2
CUST101038,1
CUST101039,1
CUST101040,2
CUST101041,1
CUST101042,3
CUST101043,1
CUST101044,1
CUST101045,0
CUST101046,1
CUST101047,2
CUST101048,3
CUST101049,1
CUST101050,3
CUST101051,0
CUST101052,1
CUST101053,2
CUST101054,1
CUST101055,1
CUST101056,0
CUST101057,1
CUST101058,1
CUST101059,2
CUST101060,2
CUST101061,1
CUST101062,1
CUST101063,1
CUST101064,1
CUST101065,1
CUST101066,3
CUST101067,3
CUST101068,1
CUST101069,1
CUST101070,2
CUST101071,1
CUST101072,1
CUST101073,1
CUST101074,1
CUST101075,0
CUST101076,0
CUST101077,1
CUST101078,3
CUST101079,1
CUST101080,1
CUST101081,1
CUST101082,2
CUST101083,0
CUST101084,1
CUST101085,3
CUST101086,2
CUST101087,2
CUST101088,1
CUST101089,1
CUST101090,1
CUST101091,0
CUST101092,1
CUST101093,3
CUST101094,2
CUST101095,2
CUST101096,1
CUST101097,2
CUST101098,2
CUST101099,1
CUST101100,1
CUST101101,1
CUST101102,0
CUST101103,1
CUST101104,3
CUST101105,0
CUST101106,1
CUST101107,2
CUST101108,3
CUST101109,1
CUST101110,1
CUST101111,1
CUST101112,2
CUST101113,1
CUST101114,1
CUST101115,0
CUST101116,1
CUST101117,2
CUST101118,1
CUST101119,3
CUST101120,1
CUST101121,1
CUST101122,1
CUST101123,1
CUST101124,1
CUST101125,2
CUST101126,1
CUST101127,1
CUST101128,1
CUST101129,3
CUST101130,3
CUST101131,1
CUST101132,1
CUST101133,1
CUST101134,1
CUST101135,1
CUST101136,3
CUST101137,1
CUST101138,2
CUST101139,1
CUST101140,2
CUST101141,1
CUST101142,3
CUST101143,1
CUST101144,1
CUST101145,1
CUST101146,1
CUST101147,1
CUST101148,1
CUST101149,1
CUST101150,1
CUST101151,2
CUST101152,1
CUST101153,2
CUST101154,2
CUST101155,1
CUST101156,1
CUST101157,1
CUST101158,1
CUST101159,1
CUST101160,1
CUST101161,1
CUST101162,1
CUST101163,0
CUST101164,1
CUST101165,3
CUST101166,1
CUST101167,1
CUST101168,1
CUST101169,1
CUST101170,1
CUST101171,0
CUST101172,1
CUST101173,1
CUST101174,1
CUST101175,1
CUST101176,1
CUST101177,3
CUST101178,0
CUST101179,1
CUST101180,1
CUST101181,1
CUST101182,3
CUST101183,1
CUST101184,1
CUST101185,1
CUST101186,0
CUST101187,1
CUST101188,1
CUST101189,0
CUST101190,3
CUST101191,3
CUST101192,1
CUST101193,2
CUST101194,1
CUST101195,1
CUST101196,1
CUST101197,3
CUST101198,1
CUST101199,1
CUST101200,0
CUST101201,1
CUST101202,1
CUST101203,0
CUST101204,2
CUST101205,1
CUST101206,1
CUST101207,1
CUST101208,2
CUST101209,3
CUST101210,1
CUST101211,1
CUST101212,1
CUST101213,2
CUST101214,1
CUST101215,1
CUST101216,1
CUST101217,2
CUST101218,1
CUST101219,1
CUST101220,2
CUST101221,1
CUST101222,1
CUST101223,1
CUST101224,1
CUST101225,1
CUST101226,1
CUST101227,1
CUST101228,1
CUST101229,1
CUST101230,1
CUST101231,1
CUST101232,3
CUST101233,3
CUST101234,1
CUST101235,1
CUST101236,0
CUST101237,1
CUST101238,1
CUST101239,1
CUST101240,1
CUST101241,2
CUST101242,1
CUST101243,1
CUST101244,3
CUST101245,1
CUST101246,1
CUST101247,0
CUST101248,1
CUST101249,3
CUST101250,1
CUST101251,1
CUST101252,1
CUST101253,1
CUST101254,1
CUST101255,2
CUST101256,1
CUST101257,1
CUST101258,1
CUST101259,1
CUST101260,1
CUST101261,1
CUST101262,1
CUST101263,1
CUST101264,1
CUST101265,1
CUST101266,2
CUST101267,1
CUST101268,3
CUST101269,0
CUST101270,0
CUST101271,1
CUST101272,1
CUST101273,1
CUST101274,2
CUST101275,3
CUST101276,3
CUST101277,0
CUST101278,0
CUST101279,1
CUST101280,1
CUST101281,0
CUST101282,1
CUST101283,3
CUST101284,0
CUST101285,1
CUST101286,2
CUST101287,1
CUST101288,1
CUST101289,1
CUST101290,2
CUST101291,1
CUST101292,1
CUST101293,0
CUST101294,1
CUST101295,3
CUST101296,0
CUST101297,2
CUST101298,0
CUST101299,2
CUST101300,1
CUST101301,1
CUST101302,2
CUST101303,2
CUST101304,1
CUST101305,1
CUST101306,3
CUST101307,1
CUST101308,2
CUST101309,1
CUST101310,1
CUST101311,1
CUST101312,0
CUST101313,1
CUST101314,0
CUST101315,1
CUST101316,1
CUST101317,2
CUST101318,3
CUST101319,1
CUST101320,2
CUST101321,1
CUST101322,1
CUST101323,3
CUST101324,1
CUST101325,1
CUST101326,1
CUST101327,1
CUST101328,1
CUST101329,1
CUST101330,2
CUST101331,1
CUST101332,3
CUST101333,1
CUST101334,1
CUST101335,0
CUST101336,1
CUST101337,1
CUST101338,1
CUST101339,1
CUST101340,1
CUST101341,2
CUST101342,3
CUST101343,1
CUST101344,2
CUST101345,2
CUST101346,1
CUST101347,1
